Study ID,Study Class,Treatment Focus (Study level),Total N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Adjusted Variables in Statistical Analysis,Intervention Groups,NCPTSD Treatment Names,Assessment Point Category,Follow Up Assessment in Weeks,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Score Difference 1 Detail,Score Difference 1 Value,Score Difference 1 Standard Deviation,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Score Difference 2 Detail,Score Difference 2 Value,Score Difference 2 Standard Deviation,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Diagnostic Change 1 Effect Size Detail,Diagnostic Change 1 Effect Size Type,Diagnostic Change 1 Effect Size Value,Diagnostic Change 1 Effect Size Type of Variance Measure,Diagnostic Change 1 Effect Size Variance Value or Lower Bound,Diagnostic Change 1 Effect Size Variance Upper Bound,Diagnostic Change 1 Effect Size p value,Clinically Meaningful Response 1 Effect Size Detail,Clinically Meaningful Response 1 Effect Size Type,Clinically Meaningful Response 1 Effect Size Value,Clinically Meaningful Response 1 Effect Size Type of Variance Measure,Clinically Meaningful Response 1 Effect Size Variance Value or Lower Bound,Clinically Meaningful Response 1 Effect Size Variance Upper Bound,Clinically Meaningful Response 1 Effect Size p value,Additional Data Reported,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
ahmadi2015_M-PTSD_BvsC_0_Comp,Mixed: Psychotherapy & CIH,PTSD,48,Self report,M-PTSD,M-PTSD (Persian version),,B vs C,Rapid Eye Movement (REM) Desentization vs Waitlist,End of Treatment,0,Completer,,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Duty Military,1,0,0,0,,1,Combat-related,,High,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",46896,2019
ahmadi2015_M-PTSD_Omnibus_0_Comp,Mixed: Psychotherapy & CIH,PTSD,48,Self report,M-PTSD,M-PTSD (Persian version),,Omnibus,Eye Movement Desensitization and Reprocessing (EMDR) vs Rapid Eye Movement (REM) Desentization vs Waitlist,End of Treatment,0,Completer,,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Duty Military,1,0,0,0,,1,Combat-related,,High,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",46896,2019
ahmadizadeh2018_PCL_AvsB_0_ITT,Nonpharmacologic biological,PTSD,65,Self report,PCL,PCL-M,,A vs B,Transcranial magnetic stimualtion (TMS) vs Transcranial magnetic stimualtion (TMS),End of Treatment,0,ITT,,Mean difference,3.6,95% CI,-10.13,2.93,p=0.53,,,,,,,,Mean difference; SE 0.53,3.6,,,,,,,,,,,,,,,,,,,,,,p=0.22,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.",50480,2019
ahmadizadeh2018_PCL_AvsC_0_ITT,Nonpharmacologic biological,PTSD,65,Self report,PCL,PCL-M,,A vs C,Transcranial magnetic stimualtion (TMS) vs Sham,End of Treatment,0,ITT,,Mean difference,-21.1,95% CI,-27.75,-14.5,p=0.0001,,,,,,,,Mean difference; SE 2.67,-21.12,,,,,,,,,,,,,,,,,,,,,,p=0.0001,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.",50480,2019
ahmadizadeh2018_PCL_BvsC_0_ITT,Nonpharmacologic biological,PTSD,65,Self report,PCL,PCL-M,,B vs C,Transcranial magnetic stimualtion (TMS) vs Sham,End of Treatment,0,ITT,,Mean difference,-17.52,95% CI,-24.05,-10.99,p=0.0001,,,,,,,,Mean difference; SE 2.63,-17.52,,,,,,,,,,,,,,,,,,,,,,p=0.0001,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.",50480,2019
ahmadizadeh2018_PCL_Omnibus_0_ITT,Nonpharmacologic biological,PTSD,65,Self report,PCL,PCL-M,,Omnibus,Transcranial magnetic stimualtion (TMS) vs Transcranial magnetic stimualtion (TMS) vs Sham,End of Treatment,0,ITT,Group x Time interaction,partial eta-squared,0.42,,,,p=0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.",50480,2019
ahmadizadeh2019_PCL_AvsB_0_Comp,Nonpharmacologic biological,PTSD,40,Self report,PCL,PCL-5,,A vs B,Transcranial direct current stimulation (tDCS) vs Sham,End of Treatment,0,Completer,Endpoint difference,,,,,,p=0.001,,,,,,,,,,,,,,,,,,,,,,,,p=0.046,,,,,,,p=0.116,,Community,,,1,0.65,,0.35,,,Medium,"Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.",1545324,2020
ahmadizadeh2019_PCL_AvsB_4_Comp,Nonpharmacologic biological,PTSD,40,Self report,PCL,PCL-5,,A vs B,Transcranial direct current stimulation (tDCS) vs Sham,Assessment at <3 Months,4,Completer,Group x Time interaction,Wilks' lambda,0.61,,,,p=0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.65,,0.35,,,Medium,"Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.",1545324,2020
ahmadpanah2014_PCL_Omnibus_0_NA,Pharmacotherapy,PTSD,100,Self report,PCL,PCL-M,None,Omnibus,Prazosin vs Hydroxyzine vs Placebo,End of Treatment,0,,Group x Time interaction; (largest decline hydroxyzine > prazosin > placebo),,,,,,p=0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.28,,0.72,Mixed,"combat-related, accidents, natural or manmade disasters, other (not specified)",Medium,"Ahmadpanah M, Sabzeiee P, Hosseini SM, et al. Comparing the effect of prazosin and hydroxyzine on sleep quality in patients suffering from posttraumatic stress disorder. Neuropsychobiology. 2014 2016-09-15;69(4):235-42. doi: http://dx.doi.org/10.1159/000362243. PMID: 24993832.",43996,2019
akbarian2015_IES_AvsB_0_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,40,Self report,IES,IES-R,,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Medication as usual,End of Treatment,0,ITT,Group x Time interaction,,23.09,SD,0.47,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7857,,0.2143,Mixed,"intimate partner violence, accidents, illness/medical procedure",Medium,"Akbarian F, Bajoghli H, Haghighi M, et al. The effectiveness of cognitive behavioral therapy with respect to psychological symptoms and recovering autobiographical memory in patients suffering from post-traumatic stress disorder. Neuropsychiatr Dis Treat. 2015;11:395-404. doi: 10.2147/NDT.S79581. PMID: 25737635.",43629,2019
akuchekian2004_IES_AvsB_0_ITT,Pharmacotherapy,PTSD,67,Self report,IES,IES-R,,A vs B,Topiramate augmentation vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,0,0,,1,Combat-related,,Medium,"Akuchekian S, Amanat S. The Comparison of Topiramate and Placebo in the Treatment of Posttraumatic Stress Disorder: A Randomized, Double- Blind Study. J Res Med Sci. 2004;9(5):240-4.",50403,2019
aldahadha2012_TSI_AvsB_0_Comp,Psychotherapy,PTSD,51,Self report,TSI,TSI,,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,Completer,,,,,,,p<0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.5294,,0.4706,Accidents,,High,"Aldahadha B, Al-Harthy H, Sulaiman S. The Efficacy of Eye Movement Desensitization Reprocessing in Resolving the Trauma Caused by the Road Accidents in the Sultanate of Oman. Journal of Instructional Psychology. 2012;39(3/4):146-58.",1548482,2019
alghamdi2015_SPTSS_AvsB_0_ITT,Psychotherapy,PTSD,34,Self report,SPTSS,SPTSS,Baseline SPTSS score,A vs B,Narrative Exposure Therapy (NET) vs Waitlist,End of Treatment,0,ITT,,Hedges' g,2.05,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,0,,1,,,Medium,"Alghamdi M, Hunt NC, Thomas SA. The effectiveness of narrative exposure therapy with traumatised firefighters in Saudi Arabia: a randomized controlled study. Behav Res Ther. 2015 Mar;66:64-71. doi: 10.1016/j.brat.2015.01.008. PMID: 25701801.",46524,2020
ardani2017_TSI_AvsB_0_NA,Pharmacotherapy,PTSD,36,Self report,TSI,TSI,,A vs B,Rivastigmine augmentation vs Placebo,End of Treatment,0,,,,,,,,,,,,,,,,90% CI -7.35 to 2.1,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Ardani AR, Hosseini G, Bordbar MRF, et al. Effect of rivastigmine augmentation in treatment of male patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Clin Psychopharmacol. 2017 Feb;37(1):54-60. doi: 10.1097/jcp.0000000000000624. PMID: 27930500.",47465,2019
kosten1991_PDS_Omnibus_0_ITT,Pharmacotherapy,PTSD,60,Self report,PDS,PDS,None,Omnibus,Phenelzine vs Imipramine vs Placebo,End of Treatment,0,ITT,Group x Time interaction,,,,,,p<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Kosten TR, Frank JB, Dan E, et al. Pharmacotherapy for posttraumatic stress disorder using phenelzine or imipramine. J Nerv Ment Dis. 1991;179(6):366-70. PMID: 2051152.",02658,2019
ardani2017_TSI_AvsC_0_NA,Pharmacotherapy,PTSD,36,Self report,TSI,TSI,,A vs C,Rivastigmine augmentation vs Treatment as usual (TAU),End of Treatment,0,,,,,,,,,,,,,,,,90% CI -8.83 to 0.43,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Ardani AR, Hosseini G, Bordbar MRF, et al. Effect of rivastigmine augmentation in treatment of male patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Clin Psychopharmacol. 2017 Feb;37(1):54-60. doi: 10.1097/jcp.0000000000000624. PMID: 27930500.",47465,2019
ardani2017_TSI_Omnibus_0_NA,Pharmacotherapy,PTSD,36,Self report,TSI,TSI,,Omnibus,Rivastigmine augmentation vs Placebo vs Treatment as usual (TAU),End of Treatment,0,,,,,,,,p=0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Ardani AR, Hosseini G, Bordbar MRF, et al. Effect of rivastigmine augmentation in treatment of male patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Clin Psychopharmacol. 2017 Feb;37(1):54-60. doi: 10.1097/jcp.0000000000000624. PMID: 27930500.",47465,2019
arntz2007_PSS-SR_A+BminuswaitlistvsCwaitlist_0_Comp,Psychotherapy,PTSD,67,Self report,PSS-SR,PSS-SR (Dutch version),Logistic regression analyses of clinically meaningful change: baseline PSS-SR score and condition,A + B (minus waitlist) vs C (waitlist),Imaginal exposure plus imagery rescripting + Imaginal exposure (minus waitlist) vs Waitlist (waitlist),End of Treatment,0,Completer,Treatment x Time interaction,eta-squared,0.2,,,,p=0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
arntz2007_PSS-SR_A+BminuswaitlistvsCwaitlist_0_ITT,Psychotherapy,PTSD,67,Self report,PSS-SR,PSS-SR (Dutch version),Logistic regression analyses of clinically meaningful change: baseline PSS-SR score and condition,A + B (minus waitlist) vs C (waitlist),Imaginal exposure plus imagery rescripting + Imaginal exposure (minus waitlist) vs Waitlist (waitlist),End of Treatment,0,ITT,Treatment x Time interaction,eta-squared,0.1,,,,p≤0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
arntz2007_PSS-SR_AvsB_0_Comp,Psychotherapy,PTSD,67,Self report,PSS-SR,PSS-SR (Dutch version),Logistic regression analyses of clinically meaningful change: baseline PSS-SR score and condition,A vs B,Imaginal exposure plus imagery rescripting vs Imaginal exposure,End of Treatment,0,Completer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.66,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
arntz2007_PSS-SR_AvsB_0_ITT,Psychotherapy,PTSD,67,Self report,PSS-SR,PSS-SR (Dutch version),Logistic regression analyses of clinically meaningful change: baseline PSS-SR score and condition,A vs B,Imaginal exposure plus imagery rescripting vs Imaginal exposure,End of Treatment,0,ITT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B vs A,OR,1.28,95% CI,0.41,4,p=0.67,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
arntz2007_PSS-SR_AvsB_4_Comp,Psychotherapy,PTSD,67,Self report,PSS-SR,PSS-SR (Dutch version),Logistic regression analyses of clinically meaningful change: baseline PSS-SR score and condition,A vs B,Imaginal exposure plus imagery rescripting vs Imaginal exposure,Assessment at <3 Months,4,Completer,Treatment x Time interaction,eta-squared,0.003,,,,p=0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p>0.45,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
arntz2007_PSS-SR_AvsB_4_ITT,Psychotherapy,PTSD,67,Self report,PSS-SR,PSS-SR (Dutch version),Logistic regression analyses of clinically meaningful change: baseline PSS-SR score and condition,A vs B,Imaginal exposure plus imagery rescripting vs Imaginal exposure,Assessment at <3 Months,4,ITT,Treatment x Time interaction,eta-squared,0.006,,,,p=0.58,,,,,,,,,,,,,,,,,,,,,,,,,B vs A,OR,0.99,95% CI,0.32,3.1,p=0.98,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
asukai2010_CAPS_AvsB_0_ITT,Psychotherapy,PTSD,24,Structured Clinical Interview,CAPS,CAPS,,A vs B,Prolonged Exposure (PE) vs Treatment as usual (TAU),End of Treatment,0,ITT,,Hedges' g,0.95,,,,p<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.875,,0.125,Mixed,"rape/sexual assault, accidents, community/school violence",Medium,"Asukai N, Saito A, Tsuruta N, et al. Efficacy of exposure therapy for Japanese patients with posttraumatic stress disorder due to mixed traumatic events: A randomized controlled study. J Trauma Stress. 2010 Dec;23(6):744-50. doi: 10.1002/jts.20589. PMID: 21171135.",84311,2019
